"Data e Horário","somatorio"
"05/14/2024 05:03:46 pm","10.00"
"05/14/2024 05:03:44 pm","10.00"
"05/14/2024 05:03:42 pm","9.00"
"05/14/2024 05:03:40 pm","9.00"
"05/14/2024 05:03:38 pm","9.00"
"05/14/2024 05:03:36 pm","9.00"
"05/14/2024 05:03:34 pm","8.00"
"05/14/2024 05:03:32 pm","8.00"
"05/14/2024 05:03:30 pm","8.00"
"05/14/2024 05:03:28 pm","8.00"
"05/14/2024 05:03:26 pm","7.00"
"05/14/2024 05:03:23 pm","6.00"
"05/14/2024 05:03:21 pm","5.00"
"05/14/2024 05:03:19 pm","4.00"
"05/14/2024 05:03:17 pm","4.00"
"05/14/2024 05:03:15 pm","4.00"
"05/14/2024 05:03:13 pm","4.00"
"05/14/2024 05:03:11 pm","4.00"
"05/14/2024 05:03:09 pm","4.00"
"05/14/2024 05:03:07 pm","4.00"
"05/14/2024 05:03:05 pm","3.00"
"05/14/2024 05:03:03 pm","3.00"
"05/14/2024 05:03:01 pm","3.00"
"05/14/2024 05:02:59 pm","2.00"
"05/14/2024 05:02:57 pm","2.00"
"05/14/2024 05:02:55 pm","1.00"
"05/14/2024 05:02:53 pm","1.00"
"05/14/2024 05:02:51 pm","1.00"
"05/14/2024 05:02:49 pm","1.00"
"05/14/2024 05:02:47 pm","1.00"
"05/14/2024 05:02:45 pm","1.00"
"05/14/2024 05:02:43 pm","0.00"
"05/14/2024 05:02:41 pm","0.00"
"05/14/2024 05:02:39 pm","0.00"
"05/14/2024 05:02:37 pm","0.00"
"05/14/2024 05:02:35 pm","0.00"
"05/14/2024 05:02:33 pm","0.00"
"05/14/2024 05:02:31 pm","0.00"
"05/14/2024 04:51:38 pm","0.00"
